[Debug] image_index=9, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_67ec68f7e9ac4814a6cac8f89760222a.jpg, class_id=0, prob=0.013, bbox=(x=0.26, y=0.73, w=0.05, h=0.04)
[Debug] image_index=10, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_571aaa2dc79846b6854636be16dc193a.jpg, class_id=9, prob=0.916, bbox=(x=0.10, y=0.89, w=0.06, h=0.04)
[Debug] image_index=10, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_571aaa2dc79846b6854636be16dc193a.jpg, class_id=9, prob=0.244, bbox=(x=0.10, y=0.65, w=0.05, h=0.02)
[Debug] image_index=10, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_571aaa2dc79846b6854636be16dc193a.jpg, class_id=9, prob=0.050, bbox=(x=0.41, y=0.83, w=0.03, h=0.02)
[Debug] image_index=10, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_571aaa2dc79846b6854636be16dc193a.jpg, class_id=6, prob=0.008, bbox=(x=0.99, y=0.93, w=0.01, h=0.09)
[Debug] image_index=10, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_571aaa2dc79846b6854636be16dc193a.jpg, class_id=5, prob=0.013, bbox=(x=0.99, y=0.94, w=0.01, h=0.08)
[Debug] image_index=10, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_571aaa2dc79846b6854636be16dc193a.jpg, class_id=1, prob=0.028, bbox=(x=0.39, y=0.97, w=0.11, h=0.05)
[Debug] image_index=10, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_571aaa2dc79846b6854636be16dc193a.jpg, class_id=4, prob=0.039, bbox=(x=0.39, y=0.97, w=0.11, h=0.05)
[Debug] image_index=10, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_571aaa2dc79846b6854636be16dc193a.jpg, class_id=1, prob=0.006, bbox=(x=0.40, y=0.95, w=0.18, h=0.09)
[Debug] image_index=11, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_5624a28eb15b4377b0b75bcb8e2a168a.jpg, class_id=7, prob=0.013, bbox=(x=0.61, y=0.93, w=0.07, h=0.13)
[Debug] image_index=11, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_5624a28eb15b4377b0b75bcb8e2a168a.jpg, class_id=5, prob=0.005, bbox=(x=0.86, y=0.95, w=0.08, h=0.09)
[Debug] image_index=11, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_5624a28eb15b4377b0b75bcb8e2a168a.jpg, class_id=5, prob=0.005, bbox=(x=0.83, y=0.95, w=0.14, h=0.10)
[Debug] image_index=11, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_5624a28eb15b4377b0b75bcb8e2a168a.jpg, class_id=0, prob=0.099, bbox=(x=0.62, y=0.83, w=0.06, h=0.04)
[Debug] image_index=12, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_91185b67930b4d0aaa8aaa4b042eb0ce.jpg, class_id=6, prob=0.022, bbox=(x=0.44, y=0.61, w=0.03, h=0.09)
[Debug] image_index=12, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_91185b67930b4d0aaa8aaa4b042eb0ce.jpg, class_id=4, prob=0.025, bbox=(x=0.03, y=0.90, w=0.06, h=0.04)
[Debug] image_index=12, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_91185b67930b4d0aaa8aaa4b042eb0ce.jpg, class_id=4, prob=0.020, bbox=(x=0.11, y=0.98, w=0.13, h=0.04)
[Debug] image_index=12, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_91185b67930b4d0aaa8aaa4b042eb0ce.jpg, class_id=4, prob=0.008, bbox=(x=0.04, y=0.96, w=0.08, h=0.06)
[Debug] image_index=12, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_91185b67930b4d0aaa8aaa4b042eb0ce.jpg, class_id=0, prob=0.642, bbox=(x=0.16, y=0.84, w=0.06, h=0.07)
[Debug] image_index=12, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_91185b67930b4d0aaa8aaa4b042eb0ce.jpg, class_id=0, prob=0.005, bbox=(x=0.01, y=0.94, w=0.01, h=0.05)
[Debug] image_index=13, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_95641281eafb4d23802b0b59256f16ea.jpg, class_id=0, prob=0.010, bbox=(x=0.00, y=0.23, w=0.01, h=0.03)
[Debug] image_index=13, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_95641281eafb4d23802b0b59256f16ea.jpg, class_id=4, prob=0.008, bbox=(x=0.00, y=0.23, w=0.01, h=0.03)
[Debug] image_index=13, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_95641281eafb4d23802b0b59256f16ea.jpg, class_id=7, prob=0.005, bbox=(x=0.00, y=0.23, w=0.01, h=0.03)
[Debug] image_index=13, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_95641281eafb4d23802b0b59256f16ea.jpg, class_id=9, prob=0.008, bbox=(x=0.00, y=0.23, w=0.01, h=0.03)
[Debug] image_index=13, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_95641281eafb4d23802b0b59256f16ea.jpg, class_id=4, prob=0.975, bbox=(x=0.10, y=0.44, w=0.05, h=0.03)
[Debug] image_index=13, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_95641281eafb4d23802b0b59256f16ea.jpg, class_id=1, prob=0.007, bbox=(x=0.39, y=0.79, w=0.29, h=0.35)
[Debug] image_index=13, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_95641281eafb4d23802b0b59256f16ea.jpg, class_id=1, prob=0.007, bbox=(x=0.29, y=0.95, w=0.22, h=0.11)
[Debug] image_index=13, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_95641281eafb4d23802b0b59256f16ea.jpg, class_id=0, prob=0.299, bbox=(x=0.15, y=0.64, w=0.08, h=0.04)
[Debug] image_index=14, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_b0fb384ea21e4629bc1082b6ffc13109.jpg, class_id=7, prob=0.041, bbox=(x=0.86, y=0.82, w=0.09, h=0.04)
[Debug] image_index=14, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_b0fb384ea21e4629bc1082b6ffc13109.jpg, class_id=0, prob=0.850, bbox=(x=0.90, y=0.92, w=0.18, h=0.16)
[Debug] image_index=14, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_b0fb384ea21e4629bc1082b6ffc13109.jpg, class_id=0, prob=0.059, bbox=(x=0.90, y=0.89, w=0.16, h=0.08)
[Debug] image_index=14, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_b0fb384ea21e4629bc1082b6ffc13109.jpg, class_id=0, prob=0.008, bbox=(x=0.98, y=0.98, w=0.04, h=0.04)
[Debug] image_index=15, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_bf34d5026c844eceb6141967909cec0f.jpg, class_id=9, prob=0.997, bbox=(x=0.51, y=0.93, w=0.08, h=0.04)
[Debug] image_index=15, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_bf34d5026c844eceb6141967909cec0f.jpg, class_id=9, prob=0.007, bbox=(x=0.37, y=0.85, w=0.03, h=0.02)
[Debug] image_index=15, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_bf34d5026c844eceb6141967909cec0f.jpg, class_id=0, prob=0.668, bbox=(x=0.10, y=0.86, w=0.05, h=0.03)
[Debug] image_index=15, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_bf34d5026c844eceb6141967909cec0f.jpg, class_id=0, prob=0.007, bbox=(x=0.01, y=0.86, w=0.02, h=0.02)
[Debug] image_index=16, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_d42a8730619f46dab735efeb9ad4c843.jpg, class_id=0, prob=0.974, bbox=(x=0.68, y=0.87, w=0.06, h=0.03)
[Debug] image_index=17, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_d68373a2aa144caf879915c09c5d9617.jpg, class_id=4, prob=0.006, bbox=(x=0.10, y=0.84, w=0.06, h=0.10)
[Debug] image_index=17, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_d68373a2aa144caf879915c09c5d9617.jpg, class_id=3, prob=0.007, bbox=(x=0.36, y=0.99, w=0.33, h=0.02)
[Debug] image_index=17, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_d68373a2aa144caf879915c09c5d9617.jpg, class_id=2, prob=0.018, bbox=(x=0.42, y=0.81, w=0.32, h=0.34)
[Debug] image_index=17, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_d68373a2aa144caf879915c09c5d9617.jpg, class_id=1, prob=0.138, bbox=(x=0.42, y=0.89, w=0.29, h=0.26)
[Debug] image_index=17, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_d68373a2aa144caf879915c09c5d9617.jpg, class_id=1, prob=0.037, bbox=(x=0.54, y=0.89, w=0.43, h=0.25)
